text_clean,sentiment_label,sentiment_stars,region,platform,zone
Why tf do y’all misuse the word “preppy” ewww,negativo,1,US,instagram,US
Your Parents Money 😍,positivo,5,US,instagram,US
My bracelets are preppy if anyone wants one!! 💕,negativo,1,US,instagram,US
Skincare isn't preppy.. skincare is what. I need to not break out😭,positivo,4,US,instagram,US
then stop buying? and it’s not preppy it’s called bright colours,negativo,1,US,instagram,US
Thats not preppy bruh,neutro,3,US,instagram,US
this aint preppy its expensive and over rated products 💀 i guarantee if u search up preppy this is not what shows up,negativo,1,US,instagram,US
"Oooo oooo ooo I have something that might help with money. If u go to tjmax they have like all the preppy things you could think of but for a cheaper price and o. The tag if compares to what the price was before and what it is now, they have a bunch of preppy clothes , and other stuff like and bunch of skin care products and hair products, you should really go there",neutro,3,US,instagram,US
Girl I got butterfly to and scrubs so bfr,neutro,3,US,instagram,US
I'm not pulling out 🍑🍆💦💦💦💦🎯🫶🏾💪🏾🙌🏾💯🙏🏽👡💎👙🏖⛱️🍽🍷🥗🥬🍇🥝😂😂😂😂😂 @stephsblessedd,negativo,1,US,instagram,US
You are so beautiful to me,positivo,5,US,instagram,US
Demmmm nice assss!!!!!!!!😮,positivo,5,US,instagram,US
They better drop a cropped one 🙏🏼😌,negativo,2,US,instagram,US
color is so cute! 😍Shop,positivo,5,US,instagram,US
this is actually so cuteee,positivo,5,US,instagram,US
@sourpatch_survivor ty for validating 🤝🏻,positivo,5,US,instagram,US
@hiladailythrift ok. Yep. Cause at first I was like huh? But after reading your comment I went back to look...you're right...cause wtf,neutro,3,US,instagram,US
@hiladailythrift mine was meg having a good time on santas lap scene 😭😭,positivo,4,US,instagram,US
@hiladailythrift the girl might’ve passed way and someone donated her clothes without checking if they were clean or not. Sometimes my dirty clothes get mixed with my clean clothes.,negativo,2,US,instagram,US
@katyp_24 fair enough 🥺,positivo,4,US,instagram,US
"@hiladailythrift girl, I almost puked 😭",negativo,1,US,instagram,US
@hiladailythrift I wish I never went and checked Jesus Christ,negativo,1,US,instagram,US
"is their reenlistment, they choose where they want it",neutro,3,US,instagram,US
my boy did it in front of the dominos on lejuene it was pretty sick,neutro,3,US,instagram,US
@parkerlavila I’ve seen videos of dudes doing it in front of a strip club,negativo,1,US,instagram,US
I reenlisted at Hooters,neutro,3,US,instagram,US
@loren_torgersen_ we wanted to do ojos,positivo,5,US,instagram,US
Yeah pretty much. My wife reenlisted at a local bar with a drink in hand. I reenlisted on the CO's toilet in his stateroom.,positivo,4,US,instagram,US
@jeepfireman that’s dope as fuck,positivo,5,US,instagram,US
Why are you hating? It’s his reenlistment. You must be an almost joined.,negativo,1,US,instagram,US
@aidenbz yeah well I got one so I think it’s cool,positivo,5,US,instagram,US
@classicbl i drive around oceanside brandishing the pole in hopes i find you and teach you (twink dork) a lesson,positivo,5,US,instagram,US
@classicbl yeah i’m in C’s ; CDs nuts 😞🥀🥀🥀,positivo,5,US,instagram,US
@calebkirk__00 just start up the plane so I can jump from it,negativo,1,US,instagram,US
@napoz91 say less I played enough gta I think I got this,neutro,3,US,instagram,US
Should have booted you off that ramp to give you some undeserved flight time bussy. 🙌,negativo,2,US,instagram,US
Where are the glutes we are looking for?,neutro,3,US,instagram,US
You are just using your lower back in this and your thighs,positivo,5,US,instagram,US
The bare feet...ugh,negativo,2,US,instagram,US
Think of step ups as step downs. Game changer,positivo,5,US,instagram,US
Keep your shoes on,positivo,5,US,instagram,US
Ffs barefoot? Do that at your own home gym.,positivo,5,US,instagram,US
Omg just in time to use my gift card!,positivo,5,US,instagram,US
Love the green sweatshirt,positivo,5,US,instagram,US
What sizes for the hoodies?,neutro,3,US,instagram,US
The polka dots!,positivo,5,US,instagram,US
@brearamy us lol,positivo,5,US,instagram,US
@sobercurious_clairemaso 🙋‍♀️,positivo,5,US,instagram,US
@jasava this is true for us 😂,positivo,5,US,instagram,US
@_winonaforever why do I feel like this was us,positivo,5,US,instagram,US
And then doing both @foxall12 @morgyboo23 😂🥴,positivo,5,US,instagram,US
"@pania_marshall I will shot with you, and you come run with me 😂😂😂",positivo,5,US,instagram,US
"I know these are expensive, but I still wouldn't pay 25$ for crusty, used leggings 😂 2$ maybe",negativo,2,US,instagram,US
I bet they reek of fish and crawfish,neutro,3,US,instagram,US
Oh God I looked at the reel before wish I hadn't,negativo,1,US,instagram,US
I work in clothing processing at a thrift store and I just wanna say yall need to wash your crusty bloody pants before you donate them. It’s ridiculous!!!,negativo,1,US,instagram,US
Dude I “went and looked at your last reel” 🤢🤢🤢🤮🥴 What the hell man😂😂😂,negativo,1,US,instagram,US
They so cheap I don’t get the hype about these! I can see my ass or panties right through!,negativo,1,US,instagram,US
Why is she crusty? Seems unnecessarily rude toward another woman.,negativo,1,US,instagram,US
Some one needed 2 sizes up,neutro,3,US,instagram,US
What's a living s*** is wrong with this music,negativo,1,US,instagram,US
They realized this was the cause of her hormone disruptors.,negativo,2,US,instagram,US
"Just buy them all and return them at lulu for new unworn pieces lol, that’s a steal of a deal",negativo,1,US,instagram,US
"What’s crustier- is there’s a market for it, and I’m sure very few are soaking, and ringing and soaking these garments out. They still leach dye after years of washing and wearing- pretty sure the crotch and a$$ rot isn’t coming out easily.",negativo,2,US,instagram,US
I knew a girl that resold all her lulu once she was tired of it and wanted new ones. She saw it as reselling it was renting it essentially bc she got what she wanted out if it Just buy we made too much,negativo,2,US,instagram,US
@danielgreay yeah well I thought it was funny,neutro,3,US,instagram,US
@calebkirk__00 the ol' tommy gate re enlistment ❤️,positivo,5,US,instagram,US
"@calebkirk__00 it was funny. Objectively funny, some people were just born with a stick up their ass. 🤷‍♂️",positivo,4,US,instagram,US
@mitchyb61 that’s what I’m saying,positivo,5,US,instagram,US
Took me forever to realize I see this man every week at work 😭😭,positivo,5,US,instagram,US
Idk how yall kept a straight face,positivo,5,US,instagram,US
None of you rate a flight suit,negativo,1,US,instagram,US
The guy operating the lift is biting his lip sooo hard lol,negativo,1,US,instagram,US
No more “year of our lord” when reading out the date?,positivo,5,US,instagram,US
"I reenlisted in a gas chamber in CAMP Pendleton. Only me CO and 1st Sgt were unmasked. Small formation inside was masked. Good times, 1st Sgt said never again. 😂",negativo,1,US,instagram,US
@mrsarata how does it work? They need the tags on them still? they are so itchy!!!!,negativo,1,US,instagram,US
@mrsarata they will take it back still without this tag,negativo,2,US,instagram,US
@mrsarata you don’t need to keep the tag! I’ve taken back a ton of stuff with the tag removed.,negativo,1,US,instagram,US
@mrsarata tag is not required and they will give you $10 credit for your next purchase.,negativo,1,US,instagram,US
@c8_thegr8_ that’s crazy. So it’s like target? The returns policy says the tags (all the tags…) need to be there…………. Are you guys talking about the recycling program. I feel a new reel should be out there bc I’ve just been donating a lot,negativo,1,US,instagram,US
@cindyleeneighbors no I’m talking about Like New. You don’t need tags for them to accept your items,negativo,1,US,instagram,US
@c8_thegr8_ lucky. All of our stuff (my daughters and mine) get rejected - even at Plato’s closet - because we don’t keep the tags on (mind you most of the items with pockets also have a hidden tag in them)…it’s extremely frustrating.,negativo,1,US,instagram,US
@c8_thegr8_ somehow this reel made me buy more lulu this week so if this was an ad it worked 💔💔,positivo,5,US,instagram,US
Can’t wait to see him wear the shorts,positivo,5,US,instagram,US
I love that tag comes off easily but sometimes I can’t figure out what size I bought and that bothers me!,positivo,4,US,instagram,US
Hahaha I'm not alone then! 🙌,negativo,1,US,instagram,US
And that’s why we use printed logos on the fabric so you don’t have to do this 😂,positivo,5,US,instagram,US
"But the annoying part is if you file a claim with lulu, they want to see that tag and get all pissy when you say you’ve removed it.",neutro,3,US,instagram,US
Boom the value goes down once you do that….,negativo,1,US,instagram,US
I literally ripped my socks once while doing this.,negativo,1,US,instagram,US
"@kproxi my favorite item from the haul🤗 they come in short, reg & tall!",positivo,5,US,instagram,US
@snipestwins I’m 5’3! What length did you do or suggest?,negativo,1,US,instagram,US
@kproxi I’m 5’4” & got tall but they are actually kinda long on me! I think regular would fit u perf ❤️,neutro,3,US,instagram,US
@snipestwins Ty!,positivo,5,US,instagram,US
@kproxi yes what were the first leggings?? Are they Lulu or different brand?,negativo,1,US,instagram,US
@snipestwins I want it all,positivo,5,US,instagram,US
What are first pants??,negativo,1,US,instagram,US
@adawkinsteach everything is linked in her bio! Just click the thumbnail of the video! All links are there❤️,negativo,1,US,instagram,US
i sell lulu for like half off retail if it helps at all 😫🫶,negativo,1,US,instagram,US
"Not preppy lmao,",neutro,3,US,instagram,US
Every girl in my middle school ever,positivo,5,US,instagram,US
I love this for you🥰🥰🥰🥰,positivo,5,US,instagram,US
Looks like over-scented bath and body works,positivo,4,US,instagram,US
"There is a difference between vsco preppy and vsco, vsco preppy is more sporty and focused on pink, yellow, and white colours, while vsco is focused on all colours and denimy (yk what i mean)",neutro,3,US,instagram,US
preppy? vsco? i just see body washes and scrubs bruh,negativo,1,US,instagram,US
"Nah cus there’s this cream or idk what that is but there is “Brazilian Bum Bum Cream” on the label, but i live in Brazil and the literal translation would be “brazilian ass cream” wtf was it supposed to actually mean 💀",negativo,1,US,instagram,US
I have the same butterfly perfume !!!,positivo,5,US,instagram,US
it’s not preppy💀 preppy is more of plaid skirts and button ups and like stuff like that almost like clueless! this is vsco,negativo,2,US,instagram,US
bro it’s literally skincare products. not” preppy” y’all goofy asf.,negativo,1,US,instagram,US
“it’s not preppy it’s vsco! it’s basic!” it’s body washes perfumes and scrubs. it’s shower products. wtf r y’all talking abt,positivo,4,US,instagram,US
That’s not preppy 😭😭,neutro,3,US,instagram,US
@classicbl get em Bailey,positivo,5,US,instagram,US
@calebkirk__00 he’s mad ‘cause he’s stuck wearing coveralls. Probably some lazy ass maint admin. 😂,negativo,1,US,instagram,US
@aireohh s-1 aerial observer actually,negativo,1,US,instagram,US
"@calebkirk__00 thats cool, what unit do you fly with?",neutro,3,US,instagram,US
@calebkirk__00 mag marine with no wings? Catching rides isn’t what he means bub,negativo,1,US,instagram,US
Need the shoes and bag 😍,positivo,5,US,instagram,US
@1976socal why are you assuming his comment came from a place of anger? You must be unhappy with your life.,negativo,1,US,instagram,US
That’s dope as hell,neutro,3,US,instagram,US
"@spynamite Ok, jealous then. Calling someone’s reenlist BS, makes you sound petty.",negativo,2,US,instagram,US
"@1976socal ngl man you still sound upset for no reason. i know people that talk like that casually, myself included. dont apply your personal butthurt to someone elses words",negativo,1,US,instagram,US
"@spynamite Whatever, dude. If you don’t want your feelings hurt to make comments. 🤷🏽‍♂️",negativo,1,US,instagram,US
"@1976socal why are you so passive aggressive bro😭go outside, get some sun. It’ll make you feel better",neutro,3,US,instagram,US
I’ve seen pics of dudes doing ceremonies on an aweigh anchor with harnesses or in the head. This one is better than I’ll probably ever do but there are levels,positivo,4,US,instagram,US
"@guerrero.vlogging same, they said oh yeah btw check mol you stuck baby",negativo,1,US,instagram,US
Seen a video of some dude doing it on the bulbous bow of a ship,negativo,1,US,instagram,US
Always wash clothes from consignment shops.,positivo,5,US,instagram,US
Should get a discount on those for,neutro,3,US,instagram,US
@eviefranciis noooo watch the reel before this 😂😂😂,negativo,1,US,instagram,US
All thrifted clothes are crusty that’s why you wash them!,negativo,1,US,instagram,US
I once found a crusty pair of dress pants for sale new at banana republic. Wasn’t necessarily the girl that donated them - that shit could have easily happened in the dressing room.,negativo,1,US,instagram,US
Don't buy them?,negativo,1,US,instagram,US
Give em the good sniff and taste test 😋,positivo,5,US,instagram,US
Why are you shaming the donator?,negativo,1,US,instagram,US
This is funny but at the same time I’m wondering if the unwashed entire lulu collection was because she died 😅😅 cuz clearly she was still wearing them,neutro,3,US,instagram,US
Shouldn’t the store also be washing the items before putting them on display? Disgusting they’d put the public at risk like that.,negativo,1,US,instagram,US
Take me home with you 😩❤️,positivo,5,US,instagram,US
Login off now🥵🥵🥵🥵,negativo,1,US,instagram,US
"With the reverse lunge, ever feel any pain in the low back? Or significant weakness on 1 side when you started out.",negativo,2,US,instagram,US
@etranchill this literally just happened,negativo,1,US,instagram,US
To….. ”if you take this shot during this race I’ll take two”,positivo,5,US,instagram,US
Times change 😮😂,neutro,3,US,instagram,US
@sherrybaby_04 why can't we have both worlds 😂🔥,positivo,5,US,instagram,US
@elliehoiles_ or we still do both 🤣🤣,positivo,5,US,instagram,US
@danplatt_ or do both 🤣🤣,positivo,5,US,instagram,US
"Well, we'll run THEN take a shot",neutro,3,US,instagram,US
"Finally a real fitness person with real results, not a BBL",positivo,5,US,instagram,US
Ok I instantly saved this bc it looks legit but if I saw you in the gym with no shoes I WOULD call the police lol,neutro,3,US,instagram,US
Barefoot is wild,positivo,5,US,instagram,US
Ewe put your shoes on,positivo,5,US,instagram,US
Where is this top from?! 😍,positivo,5,US,instagram,US
"I don’t know how y’all just pause anxiety attacks, cleaning, cooking, work, kids, and go work out. I’m too busy regulating my nervous system to do anything else.",negativo,1,US,instagram,US
Put some socks on 😮,neutro,3,US,instagram,US
What is up with the no shoes in the gym that is just trashy,negativo,1,US,instagram,US
Lol. It’s all about that first few seconds & hook…. 🫡😏😅,negativo,1,US,instagram,US
What to comment first???...all wrong,negativo,1,US,instagram,US
@emmacollins22 @marygrehan390 @ciaracass_ would still take a shot but,neutro,3,US,instagram,US
@emilynhouston1 @newtonles Ha! This is the two of you,positivo,5,US,instagram,US
@anna_kinsley_ next race pending..,negativo,1,US,instagram,US
OC marathon is the best 🙌,positivo,5,US,instagram,US
@lelesweetheart love that we can do both,positivo,5,US,instagram,US
I’d eat in this. No shade 😍,negativo,1,US,instagram,US
Is that not the point of reenlistments?,negativo,1,US,instagram,US
@parkerlavila my boy did it on top of our hospitap,positivo,5,US,instagram,US
"In my almost 30yrs, I've seen some clever reenlistment locations. Always a good idea.",positivo,4,US,instagram,US
"Did mine in a hotel room, dude I know did his in football stadium in a section of seating level with the field at the end zone.",neutro,3,US,instagram,US
I was a boat company and we had a reenlistment on our zodiacs in the Coronado Bay 😂we all jumped in the water after then went back to training.,negativo,1,US,instagram,US
"AT>thegolfexperence< What's with the ""WE BULL💩""???? Where's YOUR REENLISTMENT pic?? OH THAT'S RIGHT , YOU DON'T HAVE ONE...",negativo,1,US,instagram,US
"Maaane, its four years of fkn life. If a devil wants to reenlist in platinum, we'll make it happen.",positivo,5,US,instagram,US
I will always love you C’s wife 😍,positivo,5,US,instagram,US
@jacimariesmith @whatwesaidpodcast 😮,positivo,5,US,instagram,US
And then they try sell it for more than it costs new 🙄,negativo,1,US,instagram,US
Take this down loser,negativo,1,US,instagram,US
I don’t understand calling her crusty all because u want her clothes that she donated,negativo,1,US,instagram,US
u can tell she didnt take care of them at all whatsoever,negativo,1,US,instagram,US
i can smell it from here...,positivo,5,US,instagram,US
It is gross they are not washed but at thrift prices id buy them all and wash them a few times. What’s the big deal on doing that??,negativo,2,US,instagram,US
Why are you saying she's crusty,negativo,1,US,instagram,US
"😂 nothing some hot water and a few washes can’t fix, people so unreal these days.",negativo,1,US,instagram,US
I thrifted a pair once and when I got home I noticed blood stains 🫠,negativo,1,US,instagram,US
What if she died and then her family donated her clothes off her floor or something and she’s in the afterlife crying because she’s being bullied online for crusty pants 😭,negativo,1,US,instagram,US
Hi happened to see your post bet some nasty guy will buy those start a side business,negativo,1,US,instagram,US
"Man, if i didn't know any better i would have sworn that i saw you at mag wearing that same no wings patch not too long ago but if you're claiming C-130 Aircrew it must be true... right?💀",neutro,3,US,instagram,US
They were all trying so hard not to laugh,negativo,1,US,instagram,US
He should’ve climbed over it tf,negativo,1,US,instagram,US
Stupidest thing I've seen,negativo,1,US,instagram,US
"Oh okay, hell yeah Devil 😆🤙🏽",positivo,5,US,instagram,US
I’ve seen naval personnel reenlisting under water army personnel reenlisted during parachute jumps. These men and women who reenlisted deserve to have a special ceremony. Thank you for your service to our nation.,positivo,5,US,instagram,US
When he said post my slow ass would have walked off,negativo,1,US,instagram,US
WE ARE NATHANIEL KIIRRRKK WE CAAAARREYYY THE FLAME,positivo,5,US,instagram,US
Reading is hard,neutro,3,US,instagram,US
alot of those things cost up to 50 dollars alone such a waste of money,negativo,1,US,instagram,US
this is not preppy this is vsco,negativo,1,US,instagram,US
It’s giving basic,positivo,4,US,instagram,US
"It’s not preppy, it’s vesco !",neutro,3,US,instagram,US
I had $400 like 5 days ago and it’s all gone bc of lululemon and beauty things,positivo,5,US,instagram,US
Idk why yall call it preppy its vsco,negativo,1,US,instagram,US
"@amiraalfahmawi clueless is a movie from 1995. things change and get modernized. it's called preppy because ""preppy"" derives from predatory, which means rich and privileged, so..",positivo,4,US,instagram,US
No offense but face it……. THATS NOT PREPPY! Plaid and skirts… nah bruh,neutro,3,US,instagram,US
"@amiraalfahmawi there’s a lot of different types of preppy! You’re talking about 90’s preppy, but this is TikTok preppy!🫶🏻",negativo,1,US,instagram,US
@amiraalfahmawi that’s old preppy this is new preppy,negativo,1,US,instagram,US
@amiraalfahmawi preppy is technically a updated version of Vsco kinda?,negativo,1,US,instagram,US
@amiraalfahmawi that’s the old preppy,negativo,1,US,instagram,US
"@amiraalfahmawi so true. preppy got it from vsco. Even though I am a new preppy, I think that real preppy is skirts, polos, and plaid.",positivo,5,US,instagram,US
Recording at public gym 🤮,positivo,4,US,instagram,US
So much hate in the comment section. These are really good exercises and the burn is real. @koreessentials__ keep doing what you do🔥 and I am sorry for all trolls out here. Lol. So sad.,negativo,1,US,instagram,US
Please put ur socks on in the gym! Raw doggin it will lead to athletes foot or worse! Gross!,negativo,1,US,instagram,US
"This isn’t Pilates, put your shoes on.",negativo,1,US,instagram,US
WHere is this set from?,negativo,1,US,instagram,US
Do this shit at home,positivo,5,US,instagram,US
I do no shoes or sock sometimes and I’m not sorry at all 😂 listen i go in changing rooms and all the old girls are just casually sat on the benches with no underwear on 🥴I go to use mats and the big sweaty gorilla before me has left all his sweat on. People walk barefoot around the swimming pools and in the changing room spreading verrucas. 😅,negativo,1,US,instagram,US
Get barefoot shoes. Your feet of the public equipment is gross,negativo,2,US,instagram,US
Can you put away the camera and get on with the workout. Seriously what is wrong with you girls these days following this ridiculous trends,negativo,1,US,instagram,US
"I leave the tag on because surprisingly for having such a long tag I don't feel it at all, but it's like the only thing that symbolizes it's from Lulu lol",neutro,3,US,instagram,US
shit u can do that? ive been wearing my shorts for 3 months now,negativo,1,US,instagram,US
What is the name of the black shirt with the symbol in the middle,negativo,1,US,instagram,US
I just keep them on for resale in the future,positivo,4,US,instagram,US
"One time it ripped my Lululemon the day I bought it so I had to return it, and I said it was made like that😭🥀",negativo,1,US,instagram,US
You can just tear from right to left😂 more easily,positivo,5,US,instagram,US
"Lulu just have plastic Clothes, right?",negativo,1,US,instagram,US
Same but then when I sold leggings without the tag on Depop I got told I was selling fake leggings ☹️☹️,negativo,1,US,instagram,US
How does their recycling program work,positivo,5,US,instagram,US
"I have lululemon hoodie, Can i test it, or the hack break hoodie ?",negativo,1,US,instagram,US
Lulu is the only store I'll gladly tag along to,positivo,5,US,instagram,US
Link to the pants,positivo,4,US,instagram,US
@emilyjeffery94 but both 😂,neutro,3,US,instagram,US
We took shots of Mallort at miles 8 and 17 during the Chicago Marathon last week.,positivo,5,US,instagram,US
@__vixvi whatcha doing thanksgiving morning 🤔,positivo,5,US,instagram,US
@mikeeycallaghan 😂 this gonna be us soon,positivo,5,US,instagram,US
@htezilglowy I rather us uplift each other with challenges that can better us. Thanks again for asking me to join with you!,positivo,5,US,instagram,US
Carrying the bib the whole race is some major dedication,positivo,4,US,instagram,US
@sheena_mullins that is literally us 😩😩😩🤣🤣,negativo,1,US,instagram,US
@daryl_marie this is us,positivo,5,US,instagram,US
Omg I need them all! 😍😍😍,positivo,5,US,instagram,US
Love!!! Ever need eyewear adjustments- we are here to help! 😎,positivo,5,US,instagram,US
That beach bag is so cute! 💕✨,positivo,5,US,instagram,US
ugh to be this rich and spend my student loan payments on lulu,negativo,1,US,instagram,US
@mixed.bratzdoll_ not wrong,neutro,3,US,instagram,US
@mixed.bratzdoll_ what's basic in your opinion?,neutro,3,US,instagram,US
@mixed.bratzdoll_ it’s giving you don’t know how to be nice,neutro,3,US,instagram,US
@keaganduckworth.xoxo__ it’s so funny cause I’m so nice,positivo,5,US,instagram,US
@keaganduckworth.xoxo__ it sounds like I’m opinionated it sounds like you speak on thing you don’t know,negativo,1,US,instagram,US
@mixed.bratzdoll_ what’s wrong with that tho…?,neutro,3,US,instagram,US
@andy.gerardi lolz but it still is vsco,neutro,3,US,instagram,US
@grace2.0_______ It’s vsco preppy,negativo,1,US,instagram,US
"@stylish.xobrooklynne Preppy is more ""clueless""style this is just vsco",negativo,1,US,instagram,US
"@life.with.lilss I know, but that doesn't mean its preppy it's still vsco.",neutro,3,US,instagram,US
@life.with.lilss preppy is a whole different aesthetic just because y'all stopped saying something doesn't change the entire existence of the aesthetic,negativo,1,US,instagram,US
@grace2.0_______ I wasn’t fighting I just said I guess-,negativo,1,US,instagram,US
@life.with.lilss I'm not fighting with you and ik what you said I'm just saying,negativo,1,US,instagram,US
